time_to_expiry,log_moneyness,strike,implied_volatility,call_recovered_iv,put_recovered_iv,call_abs_error,put_abs_error,call_put_iv_difference
0.0821917808219178,-0.4,67.19749294134806,0.27922023177362737,0.2792202318153698,0.2792202317736393,4.174244283561279e-11,1.1934897514720433e-14,4.173050793809807e-11
0.0821917808219178,-0.35000000000000003,70.64278207817111,0.2684702317736274,0.26847023179422536,0.2684702317734054,2.059796777587053e-11,2.2198909377380005e-13,2.081995686964433e-11
0.0821917808219178,-0.30000000000000004,74.26471496637149,0.2586202317736274,0.2586202317759839,0.25862023177362775,2.356503880918126e-12,3.3306690738754696e-16,2.3561708140107385e-12
0.0821917808219178,-0.25,78.07234832475027,0.2496702317736274,0.24967023177320707,0.24967023177355324,4.2033043712308427e-13,7.416289804496046e-14,3.461675390781238e-13
0.0821917808219178,-0.2,82.07520322001105,0.24162023177362743,0.24162023177367198,0.24162023177362837,4.4547698863084406e-14,9.43689570931383e-16,4.360400929215302e-14
0.0821917808219178,-0.15000000000000002,86.283288874386,0.2344702317736274,0.23447023177362183,0.23447023177362603,5.578870698741412e-15,1.3877787807814457e-15,4.191091917959966e-15
0.0821917808219178,-0.09999999999999998,90.70712769390498,0.2282202317736274,0.2282202317736051,0.22822023177360407,2.2315482794965646e-14,2.3342439092743916e-14,1.0269562977782698e-15
0.0821917808219178,-0.04999999999999999,95.3577815798915,0.22287023177362741,0.22287023177392362,0.22287023177392262,2.9620750296999176e-13,2.952083022478291e-13,9.992007221626409e-16
0.0821917808219178,0.0,100.24687958947796,0.2184202317736274,0.2184202317736219,0.2184202317736219,5.495603971894525e-15,5.495603971894525e-15,0.0
0.0821917808219178,0.04999999999999999,105.38664701430577,0.2148702317736274,0.21487023177362682,0.2148702317736269,5.828670879282072e-16,4.996003610813204e-16,8.326672684688674e-17
0.0821917808219178,0.09999999999999998,110.78993595012224,0.2122202317736274,0.21222023177362737,0.21222023177363175,2.7755575615628914e-17,4.3576253716537394e-15,4.385380947269368e-15
0.0821917808219178,0.15000000000000002,116.4702574337145,0.2104702317736274,0.21047023177379132,0.21047023177378846,1.6392442958590436e-13,1.6106560529749459e-13,2.858824288409778e-15
0.0821917808219178,0.20000000000000007,122.44181522753881,0.2096202317736274,0.20962023177357056,0.2096202317737135,5.684341886080802e-14,8.609779555968089e-14,1.429412144204889e-13
0.0821917808219178,0.25,128.71954133652528,0.20967023177362742,0.20967023177362765,0.20967023176717917,2.220446049250313e-16,6.448258593749756e-12,6.448480638354681e-12
0.0821917808219178,0.30000000000000004,135.3191333458679,0.2106202317736274,0.2106202317734016,0.21062023183257472,2.257916076331412e-13,5.89473192480483e-11,5.917311085568144e-11
0.0821917808219178,0.35,142.2570936731639,0.2124702317736274,0.2124702317736202,0.21247022121482612,7.188694084447889e-15,1.055880127776021e-08,1.0558794089066126e-08
0.0821917808219178,0.4,149.55077083305378,0.21522023177362742,0.21522023177386593,0.21522103642543725,2.3850366126509925e-13,8.046518098214772e-07,8.04651571317816e-07
0.2465753424657534,-0.4,67.52969629634684,0.2763919986926308,0.276391998692842,0.27639199869285275,2.1116441928370477e-13,2.219335826225688e-13,1.0769163338864018e-14
0.2465753424657534,-0.35000000000000003,70.99201786340048,0.26564199869263083,0.26564199869258637,0.2656419986926287,4.446443213623752e-14,2.1094237467877974e-15,4.235500838944972e-14
0.2465753424657534,-0.30000000000000004,74.6318564532033,0.2557919986926308,0.2557919986926272,0.2557919986926302,3.608224830031759e-15,6.106226635438361e-16,2.9976021664879227e-15
0.2465753424657534,-0.25,78.45831355813708,0.24684199869263082,0.24684199869262696,0.24684199869263102,3.858025010572419e-15,1.942890293094024e-16,4.052314039881821e-15
0.2465753424657534,-0.2,82.48095731407663,0.23879199869263082,0.23879199869263248,0.23879199869263107,1.6653345369377348e-15,2.498001805406602e-16,1.4155343563970746e-15
0.2465753424657534,-0.15000000000000002,86.7098464257134,0.23164199869263083,0.231641998692554,0.23164199869255378,7.682743330406083e-14,7.704947790898586e-14,2.220446049250313e-16
