interval_start,interval_end,dt,spot_start,spot_end,spot_change,model_option_value_start,model_option_value_end,delta,gamma,theta,actual_stock_position,exact_option_pnl,option_delta_pnl,option_gamma_pnl,option_theta_pnl,stock_pnl,delta_hedge_mismatch_pnl,financing_pnl,transaction_cost_pnl,exact_portfolio_pnl,greek_explained_pnl,taylor_residual
0.0,0.003968253968253968,0.003968253968253968,100.0,99.00966430203437,-0.9903356979656337,9.413403383853016,8.808876124081763,0.5987063256829237,0.019333405840142464,-5.380398043561674,0.5987063256829237,0.6045272597712525,0.5929202469216382,-0.00948076190449198,0.021350785887149497,-0.5929202469216382,0.0,-0.0060107345009898835,-0.0009696545999602006,0.004626623748664211,0.0048896348817073785,-0.00026301113304316726
0.003968253968253968,0.007936507936507936,0.003968253968253968,99.00966430203437,99.31415020068579,0.3044858986514214,8.808876124081763,8.964866951958946,0.5791192559398688,0.019788422334917316,-5.335569708485126,0.5791192559398688,-0.15599082787718288,-0.17633364707119345,-0.0009173087662391682,0.02117289566859177,0.17633364707119345,0.0,-0.005780681663495261,-0.00028730451314597764,0.01427483301736933,0.014187600725711362,8.72322916579682e-05
0.007936507936507936,0.011904761904761904,0.003968253968253968,99.31415020068579,96.97335757775711,-2.3407926229286744,8.964866951958946,7.629889722024593,0.5849050279082221,0.01970661908486974,-5.361180455191731,0.5849050279082221,1.3349772299343527,1.3691413744414567,-0.05398933852934097,0.0212745256158402,-1.3691413744414567,0.0,-0.0058498139942033305,-0.002302796516578315,-0.04231675501788557,-0.04086742342428252,-0.0014493315936030537
0.011904761904761904,0.015873015873015872,0.003968253968253968,96.97335757775711,98.69763945567317,1.7242818779160558,7.629889722024593,8.56570245555821,0.5374116426300679,0.02060217118990554,-5.2093288169816905,0.5374116426300679,-0.9358127335336164,-0.9266491563681257,-0.030626651977906795,0.020671939749927343,0.9266491563681257,0.0,-0.005302467078647261,-0.0017159450078136598,-0.016181989251951575,-0.01697312431444042,0.0007911350624888458
0.015873015873015872,0.01984126984126984,0.003968253968253968,98.69763945567317,99.49849020031142,0.8008507446382538,8.56570245555821,9.008930783011287,0.572183396387853,0.02003826116419875,-5.341167268203727,0.572183396387853,-0.4432283274530775,-0.4582334990668572,-0.006425888778650366,0.021195108207157646,0.4582334990668572,0.0,-0.005711885308738355,-0.0007812962022776667,0.008511990102763656,0.008276037917491263,0.00023595218527239226
0.01984126984126984,0.023809523809523808,0.003968253968253968,99.49849020031142,99.1369968637883,-0.3614933365231252,9.008930783011287,8.776357516635997,0.5878880809655738,0.019756150835981756,-5.39624930280899,0.5878880809655738,0.2325732663752902,0.21251762389042245,-0.0012908415321888397,0.021413687709559485,-0.21251762389042245,0.0,-0.005898692331086378,-0.0003667901219997973,0.013790160031781566,0.01385736372428447,-6.720369250290403e-05
0.023809523809523808,0.027777777777777776,0.003968253968253968,99.1369968637883,98.75205272823852,-0.38494413554977314,8.776357516635997,8.53309294157122,0.5804884192125804,0.01994876363234198,-5.384332123079109,0.5804884192125804,0.24326457506477794,0.2234556127304411,-0.0014780237215458476,0.021366397313805987,-0.2234556127304411,0.0,-0.005812102086347159,-0.0003928851008500655,0.013603975147139626,0.013683386405062921,-7.941125792329529e-05
0.027777777777777776,0.031746031746031744,0.003968253968253968,98.75205272823852,99.13473049769303,0.38267776945450294,8.53309294157122,8.732243336427274,0.5725314180162353,0.02014620317358589,-5.369469335551066,0.5725314180162353,-0.1991503948560549,-0.21909504598907653,-0.001475127915039961,0.021307417998218513,0.21909504598907653,0.0,-0.005719291179317961,-0.0003691894162575018,0.013856170537446167,0.013743809487603087,0.00011236104984307937
0.031746031746031744,0.03571428571428571,0.003968253968253968,99.13473049769303,98.8049118651607,-0.3298186325323229,8.732243336427274,8.520676795898098,0.5799796536528086,0.020036092438840362,-5.40108852548138,0.5799796536528086,0.21156654052917645,0.19128809626433957,-0.0010897663773652899,0.02143289097413246,-0.19128809626433957,0.0,-0.005807923516032154,-0.000339763607569821,0.014130757141234906,0.014195437473165179,-6.468033193027245e-05
0.03571428571428571,0.03968253968253968,0.003968253968253968,98.8049118651607,98.528004475945,-0.2769073892157081,8.520676795898098,8.341422909802752,0.5731021897462875,0.020212718385481943,-5.389636164486117,0.5731021897462875,0.17925388609534565,0.15869623111644984,-0.0007749324005300616,0.021387445097167126,-0.15869623111644984,0.0,-0.005727754514636793,-0.0002892897440433217,0.014540610720215692,0.014595468437956966,-5.485771774127457e-05
0.03968253968253968,0.04365079365079365,0.003968253968253968,98.528004475945,99.42986303745313,0.9018585615081349,8.341422909802752,8.839632839498215,0.5672299558452355,0.020365124304118548,-5.380396286234879,0.5672299558452355,-0.49820992969546296,-0.511561192022907,-0.008281975368818298,0.02135077891363047,0.511561192022907,0.0,-0.005659588261508466,-0.0008940497395602965,0.006797624326375228,0.00651516554374345,0.00028245878263177815
0.04365079365079365,0.047619047619047616,0.003968253968253968,99.42986303745313,100.08069995764612,0.6508369201929867,8.839632839498215,9.202982518674617,0.5852134813625849,0.020044446355412252,-5.4437491672537135,0.5852134813625849,-0.3633496791764017,-0.38087853986544057,-0.004245300453743687,0.021602179235133783,0.38087853986544057,0.0,-0.005873250159835864,-0.0006385695614223898,0.011017040967780608,0.010845059060131886,0.00017198190764872168
0.047619047619047616,0.051587301587301584,0.003968253968253968,100.08069995764612,100.00384213585754,-0.07685782178857892,9.202982518674617,9.13530757448168,0.5979745743943609,0.01980420110111892,-5.486517535782268,0.5979745743943609,0.0676749441929374,0.04595902327290311,-5.849294343808167e-05,0.021771894983262968,-0.04595902327290311,0.0,-0.0060260748447634425,-8.601880973787497e-05,0.015603827265532975,0.015601308385323562,2.5188802094122664e-06
0.051587301587301584,0.05555555555555555,0.003968253968253968,100.00384213585754,99.9001698323209,-0.1036723035366407,9.13530757448168,9.051810478870316,0.5962542642962545,0.019882558245616813,-5.491589513304378,0.5962542642962545,0.08349709561136365,0.061815053073137685,-0.00010684833635823605,0.021792021878191976,-0.061815053073137685,0.0,-0.006006320630152432,-0.0001131654050935635,0.015562556502979967,0.01556568750658775,-3.1310036077841774e-06
0.05555555555555555,0.05952380952380952,0.003968253968253968,99.9001698323209,100.1068808099768,0.20671097765590218,9.051810478870316,9.153155280574637,0.593988694472229,0.019973050450191012,-5.495271248511031,0.593988694472229,-0.1013448017043217,-0.12278398375090745,-0.00042671851340667164,0.021806631938535836,0.12278398375090745,0.0,-0.005980103435808523,-0.00019650573752966148,0.015262572873247567,0.015203304251790985,5.926862145658185e-05
0.05952380952380952,0.06349206349206349,0.003968253968253968,100.1068808099768,99.33939318838483,-0.7674876215919681,9.153155280574637,8.678425879625571,0.59791461316912,0.019924703893928874,-5.514529953983498,0.59791461316912,0.4747294009490659,0.4588920643762496,-0.005868196387367509,0.021883055372950388,-0.4588920643762496,0.0,-0.006027628655614577,-0.0007773668804275441,0.009032341036774208,0.009209863449540737,-0.0001775224127665287
0.06349206349206349,0.06746031746031746,0.003968253968253968,99.33939318838483,98.83928118354925,-0.5001120048355858,8.678425879625571,8.368122374916382,0.5822638857894316,0.020306557225354988,-5.482729537466754,0.5822638857894316,0.3103035047091893,0.2911971592655112,-0.0025394569968447685,0.021756863243915688,-0.2911971592655112,0.0,-0.005843340452329869,-0.0005168970543485012,0.012746107936999748,0.012857168740392541,-0.0001110608033927929
0.06746031746031746,0.07142857142857142,0.003968253968253968,98.83928118354925,99.52831933594493,0.6890381523956819,8.368122374916382,8.745122695083616,0.5718045411208155,0.02055915248913895,-5.461389714494093,0.5718045411208155,-0.37700032016723384,-0.3939951445453474,-0.004880471167815599,0.02167218140672259,0.3939951445453474,0.0,-0.0057210196153781165,-0.0006890978633671638,0.010584706899368279,0.01038159276016174,0.00020311413920653942
0.07142857142857142,0.07539682539682539,0.003968253968253968,99.52831933594493,99.36877941950274,-0.1595399164421849,8.745122695083616,8.630093616009724,0.5856518132934964,0.020316992598405095,-5.511470932947946,0.5856518132934964,0.11502907907389215,0.09343484135705848,-0.0002585640533001847,0.021870916400587085,-0.09343484135705848,0.0,-0.005885863456389717,-0.00017268031260363347,0.015535693947840315,0.015553808578293546,-1.8114630453230918e-05
0.07539682539682539,0.07936507936507936,0.003968253968253968,99.36877941950274,97.6667832804273,-1.7019961390754474,8.630093616009724,7.647729771895577,0.5821762686885932,0.020431775965296058,-5.511531727934695,0.5821762686885932,0.9823638441141469,0.9908617615693359,-0.029593290908640626,0.021871157650534503,-0.9908617615693359,0.0,-0.005845467947009715,-0.0017417164001778031,-0.016085101802376538,-0.015309317605293629,-0.0007757841970829089
0.07936507936507936,0.08333333333333333,0.003968253968253968,97.6667832804273,97.08511327699007,-0.5816700034372246,7.647729771895577,7.312151659957635,0.5465097638303985,0.02114095742834662,-5.40503115636694,0.5465097638303985,0.3355781119379415,0.3178883362057047,-0.003576415693088844,0.021448536334789443,-0.3178883362057047,0.0,-0.005431652170844333,-0.0006161258263201047,0.011641997735072351,0.011824342644536134,-0.000182344909463783
0.08333333333333333,0.0873015873015873,0.003968253968253968,97.08511327699007,97.89548083121777,0.810367554227696,7.312151659957635,7.730160431652315,0.5338172756512426,0.02138245900917931,-5.366222337715923,0.5338172756512426,-0.4180087716946801,-0.4325882000739893,-0.007020883085002755,0.021294533086174298,0.4325882000739893,0.0,-0.005285666829669967,-0.0008280935671904951,0.00846566798244874,0.008159889604311073,0.0003057783781376666
0.0873015873015873,0.09126984126984126,0.003968253968253968,97.89548083121777,97.61328315801784,-0.2821976731999314,7.730160431652315,7.554068256522491,0.5507351876970135,0.021155472320222468,-5.440409795445193,0.5507351876970135,0.1760921751298241,0.15541618851742467,-0.0008423635910329958,0.021588927759703145,-0.15541618851742467,0.0,-0.005483571573144408,-0.00030746055769924867,0.014884954481555787,0.0149555320378265,-7.057755627071227e-05
0.09126984126984126,0.09523809523809523,0.003968253968253968,97.61328315801784,97.43440743506368,-0.1788757229541602,7.554068256522491,7.435525304528753,0.5444356237902954,0.02130337848496751,-5.427424640271785,0.5444356237902954,0.11854295199373865,0.09738631580748829,-0.00034081703328239397,0.021537399366157877,-0.09738631580748829,0.0,-0.005411051770471884,-0.00020175794627839288,0.015543826469500092,0.015583772616125206,-3.9946146625113865e-05
0.09523809523809523,0.0992063492063492,0.003968253968253968,97.43440743506368,98.2293913332283,0.7949838981646309,7.435525304528753,7.850010506107083,0.5402942131410264,0.02141301241194277,-5.421904778977002,0.5402942131410264,-0.41448520157833,-0.4295251997186451,-0.006766505480508443,0.02151549515467064,0.4295251997186451,0.0,-0.005363679536128192,-0.000816506679834593,0.008859811924352307,0.008568803458199431,0.00029100846615287557
0.0992063492063492,0.10317460317460317,0.003968253968253968,98.2293913332283,100.51762476730566,2.2882334340773554,7.850010506107083,9.156655532904423,0.5569187013670548,0.02117753833506232,-5.492520226853218,0.5569187013670548,-1.3066450267973408,-1.274359992531037,-0.05544292506122074,0.021795715185925466,1.274359992531037,0.0,-0.005558833240985406,-0.0023719963524355633,-0.04021586385972488,-0.04157803946871631,0.0013621756089914339
0.10317460317460317,0.10714285714285714,0.003968253968253968,100.51762476730566,99.62243924080546,-0.8951855265001996,9.156655532904423,8.601819238703676,0.6041143321417899,0.020237102533286488,-5.636454319995627,0.6041143321417899,0.5548362942007472,0.5407944064846646,-0.008108573170976697,0.022366882222204867,-0.5407944064846646,0.0,-0.006124572097923242,-0.0009227945161151307,0.0069945211020442394,0.007210942437189784,-0.00021642133514554462
0.10714285714285714,0.1111111111111111,0.003968253968253968,99.62243924080546,101.33308120191975,1.7106419611142911,8.601819238703676,9.610897421185669,0.5855884955301291,0.020700500831484,-5.600974449387492,0.5855884955301291,-1.0090781824819928,-1.0017322523996275,-0.03028789555350711,0.022226089084870997,1.0017322523996275,0.0,-0.0059056850613801535,-0.0017522252738868885,-0.015003840417632324,-0.01571971680390323,0.0007158763862709066
0.1111111111111111,0.11507936507936507,0.003968253968253968,101.33308120191975,99.77881665167155,-1.554264550248206,9.610897421185669,8.649047448164644,0.6201719751421888,0.019924216630850713,-5.688785060331518,0.6201719751421888,0.9618499730210246,0.9639113160209156,-0.024065846528201235,0.022574543890204433,-0.9639113160209156,0.0,-0.006323818099532294,-0.0015855676652564636,-0.009970728764679783,-0.009400688402785552,-0.0005700403618942307
0.11507936507936507,0.11904761904761904,0.003968253968253968,99.77881665167155,100.00299106193718,0.22417441026563267,8.649047448164644,8.759065490008581,0.5883903261216018,0.02072772630964532,-5.629022321808682,0.5883903261216018,-0.11001804184393649,-0.13190205436431338,-0.0005208273016424855,0.022337390165907467,0.13190205436431338,0.0,-0.005947221166261234,-0.00022152685116371337,0.015715264502951944,0.01564781484684003,6.7449656111912e-05
0.11904761904761904,0.12301587301587301,0.003968253968253968,100.00299106193718,98.54419145193923,-1.4587996099979534,8.759065490008581,7.894398041139077,0.5928207306287332,0.020673718430533415,-5.6507344573866325,0.5928207306287332,0.8646674488695041,0.8648066506398978,-0.021997831871649366,0.022423549434073937,-0.8648066506398978,0.0,-0.006000703212789482,-0.0015229289254504493,-0.007662833908633658,-0.007097914575815332,-0.0005649193328183255
0.12301587301587301,0.12698412698412698,0.003968253968253968,98.54419145193923,100.2404246560983,1.6962332041590713,7.894398041139077,8.855382074842709,0.5619121828389186,0.021354083100975137,-5.571735451553367,0.5619121828389186,-0.9609840337036317,-0.9531341023528769,-0.03072005957339234,0.022110061315687962,0.9531341023528769,0.0,-0.005638975227174581,-0.0017750818426749873,-0.015263988420604415,-0.016024055327553934,0.0007600669069495192
0.12698412698412698,0.13095238095238093,0.003968253968253954,100.2404246560983,101.30316673379254,1.0627420776942387,8.855382074842709,9.479008938926732,0.5973286697256189,0.02066038024200531,-5.682601915849403,0.5973286697256189,-0.6236268640840237,-0.6348063115305399,-0.011667130802440698,0.02255000760257692,0.6348063115305399,0.0,-0.006062521597579481,-0.0010908378994380049,0.004026087949498736,0.003729517303118735,0.0002965706463800011
