number_of_paths,mean_terminal_pnl,median_terminal_pnl,pnl_standard_deviation,root_mean_squared_pnl,mean_absolute_pnl,pnl_5_percentile,pnl_95_percentile,probability_of_loss,mean_transaction_cost,frequency,transaction_cost_rate,cost_label
60.0,0.007284852278252988,-0.06714526139368304,1.5134491753968764,1.500801786426301,1.1132946443311142,-2.2039476703268766,3.033162906504069,0.5333333333333333,0.0,monthly,0.0,no_cost
60.0,0.03728703622534029,0.06268024475738601,1.0792896849297071,1.0709071435000992,0.7227176089080367,-1.5617553197821727,1.6190527263160606,0.4666666666666667,0.0,weekly,0.0,no_cost
60.0,-0.08717632948159391,-0.038252164222838,0.4441583230160884,0.4489859515930755,0.3107980285912359,-0.9643013544290098,0.4733669147675406,0.55,0.0,daily,0.0,no_cost
60.0,-0.10466246903159314,-0.16360729656011389,1.520768026389344,1.5116692868075103,1.1290237208000071,-2.293225556680035,2.916901435812386,0.5666666666666667,0.11026811316357565,monthly,0.0005,five_bps
60.0,-0.13340468021752622,-0.08287396941591396,1.084458806688847,1.0836267178871397,0.7200745751067225,-1.8223016713814941,1.4076031887143519,0.5833333333333334,0.16817373520923357,weekly,0.0005,five_bps
60.0,-0.3961829788810266,-0.3371329286207191,0.47241666551216205,0.6135298146880178,0.440252496116746,-1.4431715039276114,0.14229908242711503,0.85,0.3043944401862652,daily,0.0005,five_bps
