path_id,terminal_spot,realized_volatility,terminal_pnl,total_transaction_cost,option_premium_per_unit,option_payoff_per_unit,number_of_rebalances
0,128.85156834369891,0.21342672018575612,-1.5098345506901296,0.0,9.413403383853016,28.851568343698915,50
1,97.21841550042869,0.2065530188762997,-1.5585387056866224,0.0,9.413403383853016,0.0,50
2,113.81513840767559,0.20236374923839412,-0.46584142452786637,0.0,9.413403383853016,13.81513840767559,50
3,96.91189943894246,0.19991520608825714,-1.6228709875976284,0.0,9.413403383853016,0.0,50
4,81.57234202038005,0.18331071904220975,0.5439962709634143,0.0,9.413403383853016,0.0,50
5,64.10741910901395,0.20362565289328852,-0.9232780810904532,0.0,9.413403383853016,0.0,50
6,93.3575937571019,0.20856596102290767,-0.27436442176336795,0.0,9.413403383853016,0.0,50
7,65.4129684353487,0.1870251746404633,-0.12290517318782977,0.0,9.413403383853016,0.0,50
8,107.58244984993084,0.20862176060720022,0.8850289805787526,0.0,9.413403383853016,7.582449849930839,50
9,80.55159562000928,0.1926484655919577,-0.6197769295350767,0.0,9.413403383853016,0.0,50
10,83.18890842521913,0.19262463163001142,-0.03422745445050201,0.0,9.413403383853016,0.0,50
11,111.30102469907193,0.22252987410415226,-2.2943892795113214,0.0,9.413403383853016,11.301024699071931,50
12,99.2282480467273,0.20120068175566613,2.0799737560754643,0.0,9.413403383853016,0.0,50
13,121.13141131128404,0.18413704966116362,-0.22067111975303533,0.0,9.413403383853016,21.13141131128404,50
14,107.68549482504461,0.19988584977213092,0.8970217689861215,0.0,9.413403383853016,7.685494825044614,50
15,105.6958887557988,0.21707324128678507,-0.9860843852057997,0.0,9.413403383853016,5.695888755798805,50
16,113.17458232102113,0.19987839510543226,1.21706979523114,0.0,9.413403383853016,13.174582321021134,50
17,105.06374016540987,0.19819971487339688,0.31615747137516337,0.0,9.413403383853016,5.063740165409868,50
18,123.88693646384831,0.19660335792289035,-0.07265782690761569,0.0,9.413403383853016,23.886936463848315,50
19,109.98037091181612,0.18938345960858072,2.455748202952236,0.0,9.413403383853016,9.980370911816124,50
20,124.63928650859862,0.19802684485944153,-0.5959248117052596,0.0,9.413403383853016,24.639286508598616,50
21,120.15057994186562,0.19808262845869548,0.2552466253073078,0.0,9.413403383853016,20.150579941865615,50
22,108.4098622861752,0.1994536211868925,-1.0767434250830377,0.0,9.413403383853016,8.409862286175198,50
23,93.03912635400687,0.22494975811086446,-4.468137761678107,0.0,9.413403383853016,0.0,50
24,124.79540009980008,0.19978752721055254,0.5898305389499825,0.0,9.413403383853016,24.795400099800077,50
25,79.76161895501026,0.20067342806667263,0.03694874603509739,0.0,9.413403383853016,0.0,50
26,134.54595096902054,0.21027058139890606,0.11583427912397326,0.0,9.413403383853016,34.54595096902054,50
27,69.31576441795877,0.20636474669384836,0.0770726018128036,0.0,9.413403383853016,0.0,50
28,131.1577044753721,0.20699264327370515,0.5712597321906259,0.0,9.413403383853016,31.1577044753721,50
29,96.56869546163104,0.2009178167944881,1.3458275749397721,0.0,9.413403383853016,0.0,50
30,100.77480182496916,0.20476468240937665,-0.1177946376639909,0.0,9.413403383853016,0.7748018249691597,50
31,86.74669235171973,0.19939723815215435,-0.3849038860650984,0.0,9.413403383853016,0.0,50
32,114.30551534105831,0.19242369309522075,-0.015362303380371145,0.0,9.413403383853016,14.30551534105831,50
33,106.30759750478444,0.20525435608500237,0.12631618559709068,0.0,9.413403383853016,6.3075975047844395,50
34,95.27450895862098,0.18748452006446625,-0.22640134601953543,0.0,9.413403383853016,0.0,50
35,95.17859441782726,0.1895917599008605,0.8761449021618533,0.0,9.413403383853016,0.0,50
36,75.83791716485774,0.20193026067815228,-0.37320826897371884,0.0,9.413403383853016,0.0,50
37,87.86250254703056,0.20780614726426042,-0.736852032779805,0.0,9.413403383853016,0.0,50
38,102.71690099143565,0.1871989487505997,0.3160358449063807,0.0,9.413403383853016,2.716900991435651,50
39,146.90257168575405,0.2012609893228484,-0.0961952205836667,0.0,9.413403383853016,46.902571685754054,50
40,132.45900246648674,0.19488192025174017,0.785447190350709,0.0,9.413403383853016,32.45900246648674,50
41,68.93051576728682,0.2111353030811988,-0.16819736170823424,0.0,9.413403383853016,0.0,50
42,65.71848989132528,0.20070058486433284,-0.546254533901091,0.0,9.413403383853016,0.0,50
43,73.60850785797771,0.1954165845799664,0.07238218470873165,0.0,9.413403383853016,0.0,50
44,134.6253124945928,0.20289934708587218,0.27955613813310265,0.0,9.413403383853016,34.625312494592805,50
45,102.99250672830883,0.20188522671357872,0.5004542247194763,0.0,9.413403383853016,2.9925067283088254,50
46,92.82946807208015,0.19403831138960873,1.298339251246411,0.0,9.413403383853016,0.0,50
47,142.09776627323697,0.19212000489116454,0.27697481259293966,0.0,9.413403383853016,42.09776627323697,50
48,95.90089911848027,0.20967411224625523,0.49679800835293264,0.0,9.413403383853016,0.0,50
49,94.68199871155345,0.20137592038910282,-0.10234184024121573,0.0,9.413403383853016,0.0,50
50,85.77111031071092,0.20491134709331482,-0.29500046448226636,0.0,9.413403383853016,0.0,50
51,113.04849593867559,0.19458332231029674,0.2493002981767063,0.0,9.413403383853016,13.048495938675586,50
52,88.92971666225257,0.1940824881658502,0.38994395470868937,0.0,9.413403383853016,0.0,50
53,103.99467960912577,0.19510603614610542,1.43224645249596,0.0,9.413403383853016,3.994679609125768,50
54,113.66844509347061,0.18856070181586768,1.5947937247497777,0.0,9.413403383853016,13.66844509347061,50
55,84.11654348324453,0.19735926476253407,-0.6541589463082472,0.0,9.413403383853016,0.0,50
56,75.39788261677607,0.20712714378612748,0.09076035041629595,0.0,9.413403383853016,0.0,50
57,87.19199554876599,0.20376164863444798,0.052978304806040384,0.0,9.413403383853016,0.0,50
58,101.60989898010406,0.19379981107730623,2.293650757112445,0.0,9.413403383853016,1.609898980104063,50
59,111.49573942815749,0.19346724576993052,0.28100042424391347,0.0,9.413403383853016,11.495739428157492,50
