log_moneyness,minimum_total_variance_change,calendar_check_passed
-0.4,0.012428521067852345,True
-0.35000000000000003,0.011475678004903712,True
-0.30000000000000004,0.010635962918043923,True
-0.25,0.009900632245629159,True
-0.2,0.009261741330125157,True
-0.15000000000000002,0.00871214441810727,True
-0.09999999999999998,0.008245494660260422,True
-0.04999999999999999,0.007856244111379137,True
0.0,0.007539643730367522,True
0.04999999999999999,0.007291743380239282,True
0.09999999999999998,0.007109391828117696,True
0.15000000000000002,0.006990236745235646,True
0.20000000000000007,0.0069327247069356016,True
0.25,0.006936101192669608,True
0.30000000000000004,0.007000410585999315,True
0.35,0.0071264961745959535,True
0.4,0.0073160001502403475,True
